Percent global pairwise identity	Percent shared k-tuples (k=2)
28.1	62.652705061082024
27.6	62.96992481203007
26.5	64.92693110647181
28.5	64.20664206642066
21.1	65.0190114068441
28.3	61.886792452830186
26.5	61.60337552742617
25.0	61.98019801980198
27.2	63.582677165354326
24.2	61.0
27.5	62.83018867924528
53.0	71.2406015037594
30.4	68.89352818371609
87.8	90.22140221402213
29.6	64.63878326996198
63.6	74.52830188679245
32.2	64.9789029535865
44.1	68.9108910891089
46.4	69.29133858267717
31.0	63.2
41.7	65.28301886792453
35.2	60.75156576200418
56.1	66.9172932330827
31.3	60.26615969581749
62.2	71.1320754716981
33.0	64.55696202531645
44.2	63.56435643564357
49.4	66.33858267716536
35.2	64.2
41.1	64.15094339622641
31.5	61.5866388308977
24.8	58.66388308977035
35.2	60.125260960334025
40.0	60.54852320675106
34.7	60.96033402922756
34.1	61.79540709812108
33.0	59.91649269311065
32.0	60.5427974947808
30.8	59.885931558935354
67.6	70.37735849056604
33.8	63.92405063291139
46.3	65.54455445544555
48.6	65.94488188976378
33.9	60.6
41.7	63.39622641509434
32.1	60.836501901140686
27.5	60.337552742616026
29.7	62.17821782178218
30.3	61.811023622047244
24.2	57.599999999999994
33.0	61.97718631178707
34.6	64.9789029535865
43.8	64.15841584158416
50.8	66.73228346456693
35.2	61.199999999999996
41.6	64.71698113207547
31.3	59.70464135021098
33.7	60.75949367088608
33.5	61.60337552742617
34.1	56.75105485232067
58.9	66.93069306930694
35.2	59.8
38.7	64.15841584158416
35.1	61.4
39.3	62.00787401574803
34.6	60.199999999999996
